kick ass : f_popularity=42.2485207101 , v_popularity=59.7515690171
sweet soy : f_popularity=118.234817814 , v_popularity=178.339563754
frozen food : f_popularity=53.6558139535 , v_popularity=76.0805494197
parsley : f_popularity=31.875 , v_popularity=45.343136195
won ton and : f_popularity=68.6763636364 , v_popularity=97.2792372503
planet hollywood : f_popularity=70.4827586207 , v_popularity=222.99103121
basil : f_popularity=464.35617499 , v_popularity=1033.56482622
sushi rolls : f_popularity=236.227621483 , v_popularity=653.29472675
orange chicken : f_popularity=2773.09992314 , v_popularity=6267.9197506
mushroom : f_popularity=784.804145078 , v_popularity=1486.68355745
pulled pork : f_popularity=40.9442060086 , v_popularity=93.8203069703
chile : f_popularity=322.652029275 , v_popularity=567.696441771
lotus root : f_popularity=53.3164556962 , v_popularity=87.8877124517
taco has : f_popularity=4.5 , v_popularity=9.48683298051
rice and peas : f_popularity=2.4 , v_popularity=3.60555127546
cheesecake factory : f_popularity=58.1201716738 , v_popularity=82.4696914024
and pickles : f_popularity=3.73333333333 , v_popularity=5.31507290637
onion rings : f_popularity=79.9395770393 , v_popularity=118.996848698
hot sauce : f_popularity=444.741423451 , v_popularity=720.598535941
dumplings : f_popularity=1862.48326876 , v_popularity=6095.5337133
pita bread : f_popularity=3.15789473684 , v_popularity=7.76208734813
beef tongue : f_popularity=40.7407407407 , v_popularity=112.805141727
pot roast : f_popularity=22.1318681319 , v_popularity=32.6075144714
rigatoni : f_popularity=3.23076923077 , v_popularity=4.60977222865
self service : f_popularity=40.8333333333 , v_popularity=60.2162768693
pea puree : f_popularity=4.0 , v_popularity=5.65685424949
the mongolian beef and the : f_popularity=53.6093023256 , v_popularity=76.1134022364
garlic : f_popularity=2206.91878508 , v_popularity=4830.09834268
tuna : f_popularity=428.921697864 , v_popularity=1668.31119699
dim sim : f_popularity=18.2465753425 , v_popularity=25.8118189983
half chicken : f_popularity=39.6894409938 , v_popularity=57.3171004151
angel wings : f_popularity=4.0 , v_popularity=5.65685424949
hong kong : f_popularity=1123.11563307 , v_popularity=2471.44694461
south india : f_popularity=4.11764705882 , v_popularity=6.10327780787
apple pie : f_popularity=31.21875 , v_popularity=45.8039299624
roast beef : f_popularity=29.8666666667 , v_popularity=42.5205832509
grilled vegetables : f_popularity=14.4375 , v_popularity=23.7065391823
enchilada : f_popularity=10.8 , v_popularity=16.2249807396
refried beans : f_popularity=33.0545454545 , v_popularity=202.800394477
monday night : f_popularity=170.515942029 , v_popularity=245.350769308
shangri la : f_popularity=38.6486486486 , v_popularity=70.5779710675
prix fixe : f_popularity=62.7940074906 , v_popularity=97.1558027088
soup tomato : f_popularity=4.44444444444 , v_popularity=6.40312423743
baked potato : f_popularity=15.2783505155 , v_popularity=40.1403786729
rice noodle : f_popularity=409.423264907 , v_popularity=792.268262648
youtiao : f_popularity=13.9285714286 , v_popularity=19.8494332413
cream dessert : f_popularity=9.47368421053 , v_popularity=13.4536240471
root beer : f_popularity=15.746031746 , v_popularity=22.2766694099
buffet : f_popularity=1657.17353176 , v_popularity=6645.96027674
pale ale : f_popularity=4.11764705882 , v_popularity=6.10327780787
rice pudding : f_popularity=20.3902439024 , v_popularity=29.0688837075
corn starch : f_popularity=132.143667297 , v_popularity=187.104917092
red bean soup : f_popularity=33.2222222222 , v_popularity=52.8393792545
black bean : f_popularity=818.586481624 , v_popularity=1480.67898276
octopus : f_popularity=130.245183888 , v_popularity=210.535626439
shopping mall : f_popularity=38.4415584416 , v_popularity=54.4885309033
shrimp paste : f_popularity=85.4117647059 , v_popularity=137.829604948
blue cheese : f_popularity=17.2173913043 , v_popularity=24.4182308941
security guard : f_popularity=27.3015873016 , v_popularity=47.4236228055
home fries : f_popularity=3.42857142857 , v_popularity=5.0
dive bar : f_popularity=51.4251012146 , v_popularity=94.3464360747
chinese cuisine : f_popularity=721.449523183 , v_popularity=1102.25053867
sea bass : f_popularity=366.067371202 , v_popularity=1318.32090175
smoked ham : f_popularity=8.84210526316 , v_popularity=13.8924439894
mu shu : f_popularity=354.683377309 , v_popularity=552.914098211
sun city : f_popularity=31.4436090226 , v_popularity=48.2830197896
lamian : f_popularity=2.54545454545 , v_popularity=4.03112887415
steamed rice : f_popularity=757.639501438 , v_popularity=1123.53604749
art deco : f_popularity=7.74193548387 , v_popularity=10.9658560997
chicken pasta : f_popularity=3.42857142857 , v_popularity=5.0
jerk fried rice and black : f_popularity=13.1092436975 , v_popularity=52.5380814267
mexican flag : f_popularity=3.0 , v_popularity=4.24264068712
general chicken : f_popularity=199.345794393 , v_popularity=312.832223404
peking duck : f_popularity=456.923015556 , v_popularity=999.254347001
cornish hen : f_popularity=6.24 , v_popularity=8.84590300648
rice meat : f_popularity=7.875 , v_popularity=11.401754251
lard : f_popularity=60.5761316872 , v_popularity=86.0363295358
bubble tea : f_popularity=76.1373134328 , v_popularity=123.706305417
mad men : f_popularity=10.4761904762 , v_popularity=14.8660687473
saving grace : f_popularity=151.921440262 , v_popularity=216.606209514
pork : f_popularity=4046.62526809 , v_popularity=18146.7388048
dried : f_popularity=806.962187318 , v_popularity=1252.11541002
business casual : f_popularity=4.11764705882 , v_popularity=6.10327780787
gnocchi : f_popularity=1.6 , v_popularity=4.12310562562
fried fish : f_popularity=236.77574591 , v_popularity=383.243069083
bay leaves : f_popularity=3.23076923077 , v_popularity=4.60977222865
spring training : f_popularity=29.4666666667 , v_popularity=42.8018691181
chicken fried : f_popularity=1169.68439509 , v_popularity=1893.3904114
dimsum : f_popularity=212.160217244 , v_popularity=621.430808699
fish tank : f_popularity=176.850241546 , v_popularity=313.336879413
mussels : f_popularity=195.559808612 , v_popularity=304.926220585
baby food : f_popularity=6.0 , v_popularity=9.01387818866
strudel : f_popularity=10.9565217391 , v_popularity=16.6433169771
french toast : f_popularity=29.7435897436 , v_popularity=61.3514466007
corned beef : f_popularity=9.08108108108 , v_popularity=13.2003787824
sea salt : f_popularity=49.8666666667 , v_popularity=107.205410311
ice cream sandwich : f_popularity=6.66666666667 , v_popularity=9.60468635615
kebab : f_popularity=6.15384615385 , v_popularity=9.43398113206
grand canal : f_popularity=2.72727272727 , v_popularity=3.90512483795
pita jungle : f_popularity=4.42105263158 , v_popularity=6.94622199472
yui shan : f_popularity=37.1677852349 , v_popularity=52.7375577743
california roll : f_popularity=122.0 , v_popularity=204.600219941
food critic : f_popularity=41.748502994 , v_popularity=59.0444747627
butternut squash : f_popularity=8.74285714286 , v_popularity=12.3794184031
olive : f_popularity=95.2577319588 , v_popularity=138.405202214
air conditioning : f_popularity=78.7974683544 , v_popularity=111.865991257
their garlic sauce : f_popularity=3.75 , v_popularity=5.83095189485
tin foil : f_popularity=13.3333333333 , v_popularity=19.2093727123
meatball : f_popularity=104.607476636 , v_popularity=153.003267939
steak medium : f_popularity=4.36363636364 , v_popularity=8.54400374532
bridal shower : f_popularity=7.87878787879 , v_popularity=11.9268604419
great taste : f_popularity=172.720694645 , v_popularity=244.326114036
beans : f_popularity=1322.11915279 , v_popularity=3694.76863281
twice cooked pork : f_popularity=151.621621622 , v_popularity=226.329958247
chicken rice : f_popularity=281.953775039 , v_popularity=488.070691601
credit cards : f_popularity=187.772727273 , v_popularity=287.155010404
heart attack : f_popularity=24.36 , v_popularity=35.8050275799
god forbid : f_popularity=10.6046511628 , v_popularity=15.305227865
graham cracker : f_popularity=4.44444444444 , v_popularity=6.40312423743
nuts : f_popularity=267.496323529 , v_popularity=387.837594877
identity crisis : f_popularity=43.7954545455 , v_popularity=62.3698645181
iced tea : f_popularity=693.041420118 , v_popularity=1122.19650686
prosecco : f_popularity=5.33333333333 , v_popularity=8.94427191
key lime pie : f_popularity=16.3636363636 , v_popularity=23.4307490277
rosetta : f_popularity=6.46153846154 , v_popularity=9.21954445729
kabobs : f_popularity=34.5931034483 , v_popularity=52.4237541578
won ton : f_popularity=1183.01398866 , v_popularity=1966.45696622
absolutely fabulous : f_popularity=14.0689655172 , v_popularity=20.8086520467
tortilla chips : f_popularity=10.3703703704 , v_popularity=21.1896201004
casa grande : f_popularity=51.1685393258 , v_popularity=104.83916253
gold coast : f_popularity=82.609929078 , v_popularity=450.304619119
goose : f_popularity=65.9094339623 , v_popularity=93.9321563683
ice cream : f_popularity=787.406165005 , v_popularity=1769.01611072
deep fried fish : f_popularity=21.6179775281 , v_popularity=31.9100297712
linguine : f_popularity=35.3121693122 , v_popularity=74.7880338022
carrot cake : f_popularity=40.7116564417 , v_popularity=57.6563092818
vanilla ice : f_popularity=49.0547263682 , v_popularity=71.9044504881
chef boyardee : f_popularity=3.42857142857 , v_popularity=5.0
guilty pleasure : f_popularity=87.9551820728 , v_popularity=127.130838116
dried shrimp : f_popularity=68.3826714801 , v_popularity=98.5456746895
free range : f_popularity=14.1935483871 , v_popularity=22.825424421
movie theater : f_popularity=21.8181818182 , v_popularity=31.2409987036
stir fry : f_popularity=710.754309086 , v_popularity=1308.73077827
pepperoni : f_popularity=18.4615384615 , v_popularity=28.3019433962
cash register : f_popularity=141.26984127 , v_popularity=200.804008924
cheese : f_popularity=1315.64045656 , v_popularity=2407.94227506
wonton strips : f_popularity=68.204379562 , v_popularity=97.0824391947
southern california : f_popularity=147.593333333 , v_popularity=213.827032903
hard rock : f_popularity=48.2926829268 , v_popularity=95.859271852
street food : f_popularity=101.433962264 , v_popularity=153.101273672
the fried rice and the : f_popularity=65.2575757576 , v_popularity=93.8616002421
salad lettuce : f_popularity=3.33333333333 , v_popularity=5.59016994375
green bean : f_popularity=162.198518519 , v_popularity=243.23702432
pinot noir : f_popularity=9.24324324324 , v_popularity=13.0862523283
language barrier : f_popularity=292.119967132 , v_popularity=438.767877129
vermicelli : f_popularity=273.180661578 , v_popularity=634.882666325
frou frou : f_popularity=5.33333333333 , v_popularity=8.94427191
slow food : f_popularity=21.5909090909 , v_popularity=31.4006369362
freshly squeezed : f_popularity=19.3846153846 , v_popularity=27.6586333719
apples : f_popularity=54.3853211009 , v_popularity=77.1556867638
fruits : f_popularity=207.769145394 , v_popularity=330.681493283
mexican street tacos : f_popularity=3.75 , v_popularity=5.83095189485
red pepper : f_popularity=137.644927536 , v_popularity=195.412384459
red chili : f_popularity=191.802030457 , v_popularity=282.251660757
spring roll : f_popularity=634.326669181 , v_popularity=957.157379954
miso soup : f_popularity=230.691176471 , v_popularity=412.843796126
honey walnut : f_popularity=578.004480956 , v_popularity=1009.44192503
bok choy : f_popularity=594.836336889 , v_popularity=1019.58827475
chinese chicken salad : f_popularity=65.0935251799 , v_popularity=101.355808911
baozi : f_popularity=11.7446808511 , v_popularity=16.6207701386
ritz carlton : f_popularity=3.42857142857 , v_popularity=5.0
el pollo loco : f_popularity=7.2 , v_popularity=10.8166538264
seafood : f_popularity=1904.38688957 , v_popularity=5029.9728876
salt : f_popularity=1736.05744996 , v_popularity=4443.99032402
small salad : f_popularity=44.7150837989 , v_popularity=63.3107415847
sesame oil : f_popularity=161.54311649 , v_popularity=236.305416781
calamari : f_popularity=647.038996455 , v_popularity=1474.91567556
egg roll : f_popularity=1755.95703649 , v_popularity=3096.45511028
key lime : f_popularity=38.8863636364 , v_popularity=65.7419196556
goat cheese : f_popularity=12.5925925926 , v_popularity=19.7230829233
peter piper : f_popularity=7.87878787879 , v_popularity=11.9268604419
lazy susan : f_popularity=97.8367346939 , v_popularity=138.708327075
bean curd : f_popularity=397.991788856 , v_popularity=622.469477163
hainanese chicken rice : f_popularity=34.3973509934 , v_popularity=55.7068218444
spicy salsa : f_popularity=5.30769230769 , v_popularity=23.1948270095
chinese food : f_popularity=4653.80117623 , v_popularity=19554.641527
cantonese cuisine : f_popularity=82.6784660767 , v_popularity=121.310551891
beef carpaccio : f_popularity=15.2777777778 , v_popularity=27.3130005675
queen creek : f_popularity=46.3366336634 , v_popularity=74.303431953
brown sauce : f_popularity=572.339508832 , v_popularity=826.172046247
japanese food : f_popularity=160.93373494 , v_popularity=238.314917703
mixed vegetable : f_popularity=37.2348993289 , v_popularity=52.6901319034
deer valley : f_popularity=25.9636363636 , v_popularity=39.9624824054
amuse bouche : f_popularity=13.037037037 , v_popularity=19.4164878389
crispy kau chee : f_popularity=5.31034482759 , v_popularity=11.5433963806
credit card : f_popularity=473.878357831 , v_popularity=711.12674679
red velvet cake : f_popularity=19.3263157895 , v_popularity=36.5820994477
clam chowder : f_popularity=19.8795180723 , v_popularity=29.9541316015
wine tasting : f_popularity=3.23076923077 , v_popularity=4.60977222865
olives : f_popularity=27.982300885 , v_popularity=40.1403786729
scrambled eggs : f_popularity=73.0693069307 , v_popularity=109.005733794
fried egg : f_popularity=201.746724891 , v_popularity=342.584296196
pork and veggies : f_popularity=44.7150837989 , v_popularity=63.3107415847
ravioli : f_popularity=37.1092436975 , v_popularity=98.7167665597
hoisin sauce : f_popularity=237.301397206 , v_popularity=363.473520356
stir fried : f_popularity=757.746040887 , v_popularity=1303.68947606
wild rice : f_popularity=1.55555555556 , v_popularity=3.64005494464
chicken fried steak : f_popularity=4.8 , v_popularity=7.21110255093
basmati rice : f_popularity=4.73684210526 , v_popularity=6.72681202354
hockey puck : f_popularity=23.1891891892 , v_popularity=42.3467826405
ribeye : f_popularity=73.0543933054 , v_popularity=199.15069671
lobster tail : f_popularity=39.6511627907 , v_popularity=63.1347764707
oyster sauce : f_popularity=341.634285714 , v_popularity=592.553162172
style dim : f_popularity=28.1196581197 , v_popularity=42.1574429965
jiaozi : f_popularity=8.21052631579 , v_popularity=14.3178210633
mexican food : f_popularity=176.440121581 , v_popularity=728.961075778
house music : f_popularity=19.7582417582 , v_popularity=34.2235299173
chorizo : f_popularity=23.8712446352 , v_popularity=103.880941467
duck soup : f_popularity=72.7346938776 , v_popularity=104.484448604
napa cabbage : f_popularity=151.304347826 , v_popularity=222.329147887
burrito : f_popularity=115.945167923 , v_popularity=669.020365908
high roller : f_popularity=13.9285714286 , v_popularity=19.8494332413
veal : f_popularity=12.2040816327 , v_popularity=17.3565549577
the orange chicken : f_popularity=1718.18181818 , v_popularity=2979.5301643
cirque du soleil : f_popularity=14.6440677966 , v_popularity=20.9344214155
thai curry : f_popularity=105.544186047 , v_popularity=153.40469354
lo mien : f_popularity=218.169336384 , v_popularity=309.23938947
cottage cheese : f_popularity=15.7575757576 , v_popularity=23.8537208838
mantou : f_popularity=10.4081632653 , v_popularity=18.5809041761
customer experience : f_popularity=15.3548387097 , v_popularity=22.0227155455
stuffed food : f_popularity=1.6 , v_popularity=4.12310562562
asian american : f_popularity=82.1148036254 , v_popularity=117.474465311
whipped cream : f_popularity=39.6894409938 , v_popularity=57.3171004151
creme brulee : f_popularity=61.0298507463 , v_popularity=98.8837701547
bow tie : f_popularity=16.7323943662 , v_popularity=25.8118189983
gordon ramsay : f_popularity=18.7466666667 , v_popularity=26.5188612124
naan : f_popularity=22.6382978723 , v_popularity=33.8378486314
lobster : f_popularity=976.406307297 , v_popularity=2184.91853395
pork blood : f_popularity=37.3788819876 , v_popularity=58.9173149422
pickles : f_popularity=58.979253112 , v_popularity=86.1002322877
lentils : f_popularity=4.0 , v_popularity=5.65685424949
fondue : f_popularity=36.9572649573 , v_popularity=96.7729300993
rice chicken : f_popularity=177.994389902 , v_popularity=252.264246377
middle eastern : f_popularity=3.42857142857 , v_popularity=5.0
chinese sausage : f_popularity=134.532399299 , v_popularity=207.608405418
white mushrooms : f_popularity=8.88888888889 , v_popularity=12.8062484749
balsamic vinegar : f_popularity=8.23529411765 , v_popularity=12.2065556157
english muffin : f_popularity=5.45454545455 , v_popularity=7.81024967591
americanized chinese food : f_popularity=557.719823789 , v_popularity=809.452283955
chen wok : f_popularity=55.6926952141 , v_popularity=168.366415891
shrimp : f_popularity=4188.29222243 , v_popularity=16630.0191296
yogurt dip : f_popularity=3.73333333333 , v_popularity=5.31507290637
red onion : f_popularity=30.4316546763 , v_popularity=52.1080607968
united states : f_popularity=43.5085714286 , v_popularity=62.0423242634
monterey park : f_popularity=104.657407407 , v_popularity=155.080624193
winter melon : f_popularity=64.8615384615 , v_popularity=92.0217365626
stir frying : f_popularity=8.23529411765 , v_popularity=12.2065556157
white trash : f_popularity=6.46153846154 , v_popularity=9.21954445729
carne asada : f_popularity=22.2127659574 , v_popularity=34.1320963318
home depot : f_popularity=26.0740740741 , v_popularity=38.8329756779
vindaloo : f_popularity=9.33333333333 , v_popularity=15.6524758425
king crab : f_popularity=56.1045751634 , v_popularity=121.757956619
the stir fry : f_popularity=166.360283688 , v_popularity=256.152786438
south asian : f_popularity=12.48 , v_popularity=17.691806013
jasmine tea : f_popularity=197.678657074 , v_popularity=302.418584085
tripe : f_popularity=255.208387942 , v_popularity=622.450801269
apache junction : f_popularity=16.6265060241 , v_popularity=32.1286476528
anchovies : f_popularity=21.488372093 , v_popularity=30.4138126515
cheese pie : f_popularity=3.42857142857 , v_popularity=5.0
sea scallops : f_popularity=9.47368421053 , v_popularity=13.4536240471
white cut chicken : f_popularity=2.0 , v_popularity=2.82842712475
peas : f_popularity=829.32672112 , v_popularity=1231.39351955
wonton noodle : f_popularity=240.851686824 , v_popularity=654.080461411
march madness : f_popularity=3.23076923077 , v_popularity=4.60977222865
red bull : f_popularity=6.0 , v_popularity=9.01387818866
sardine : f_popularity=10.2790697674 , v_popularity=15.532224567
hard boiled egg : f_popularity=30.0983606557 , v_popularity=43.4165866922
parmesan : f_popularity=31.9090909091 , v_popularity=47.4341649025
mascarpone : f_popularity=4.44444444444 , v_popularity=6.40312423743
eggs benedict : f_popularity=22.3779527559 , v_popularity=51.1003913879
bell peppers : f_popularity=321.442218798 , v_popularity=461.069409092
sesame chicken : f_popularity=1310.56840669 , v_popularity=2179.33131946
congee : f_popularity=292.403446528 , v_popularity=827.481872913
white bread : f_popularity=21.7471264368 , v_popularity=30.7611768305
ginger ale : f_popularity=16.9411764706 , v_popularity=24.0831891576
oolong tea : f_popularity=69.4100719424 , v_popularity=98.3514107677
mai tai : f_popularity=40.7710843373 , v_popularity=59.2030404625
hot plate : f_popularity=39.6226415094 , v_popularity=56.3049731374
carne asada tacos : f_popularity=3.75 , v_popularity=5.83095189485
kobe beef : f_popularity=73.7598039216 , v_popularity=369.283089242
sweet and sour pork : f_popularity=714.91356383 , v_popularity=1089.39708096
red rice : f_popularity=12.8679245283 , v_popularity=19.0065778087
cashew chicken : f_popularity=610.793650794 , v_popularity=904.433524368
big star : f_popularity=2.66666666667 , v_popularity=4.472135955
new york style chinese : f_popularity=108.286315789 , v_popularity=175.180621074
century egg : f_popularity=43.5401069519 , v_popularity=68.3465434386
tomatoes onions : f_popularity=16.3636363636 , v_popularity=23.4307490277
pepper steak : f_popularity=301.148450245 , v_popularity=437.224198781
paradise valley : f_popularity=6.66666666667 , v_popularity=9.60468635615
lasagne : f_popularity=3.73333333333 , v_popularity=5.31507290637
lasagna : f_popularity=23.2340425532 , v_popularity=33.4215499341
garlic dip : f_popularity=1.6 , v_popularity=4.12310562562
guacamole : f_popularity=50.1932114883 , v_popularity=357.02240826
shaobing : f_popularity=5.73913043478 , v_popularity=8.13941029805
american cheese : f_popularity=2.54545454545 , v_popularity=4.03112887415
pears : f_popularity=20.2222222222 , v_popularity=28.6574597618
khar : f_popularity=7.52727272727 , v_popularity=23.4360832905
couscous : f_popularity=3.42857142857 , v_popularity=5.0
coconut chicken : f_popularity=69.5915492958 , v_popularity=101.400197238
chicken garlic : f_popularity=69.7419354839 , v_popularity=98.6470982847
van buren : f_popularity=6.0 , v_popularity=8.48528137424
flautas : f_popularity=8.17142857143 , v_popularity=12.7769323392
bloody mary : f_popularity=27.5675675676 , v_popularity=39.3732142452
panda express : f_popularity=2161.74336041 , v_popularity=4262.72814639
cast iron : f_popularity=28.4210526316 , v_popularity=40.3608721412
beef broccoli : f_popularity=444.95821727 , v_popularity=637.303891405
sandwich : f_popularity=294.344262295 , v_popularity=691.336387007
red peppers : f_popularity=118.176842105 , v_popularity=168.342656507
flat bread : f_popularity=36.3287671233 , v_popularity=51.7397332811
sin city : f_popularity=94.9886104784 , v_popularity=165.318631739
bachelor party : f_popularity=31.0985915493 , v_popularity=53.2259335287
santa monica : f_popularity=5.45454545455 , v_popularity=7.81024967591
dipping sauce : f_popularity=725.855878635 , v_popularity=1163.79551468
soy milk : f_popularity=100.344615385 , v_popularity=270.20917823
food chain : f_popularity=51.3779904306 , v_popularity=74.5067111071
bitter melon : f_popularity=101.479905437 , v_popularity=152.542616996
macaroni : f_popularity=45.2380952381 , v_popularity=68.2293924933
pesto : f_popularity=21.5575221239 , v_popularity=44.4325331261
lobster bisque : f_popularity=4.42105263158 , v_popularity=6.94622199472
chicken skewer : f_popularity=19.95 , v_popularity=28.319604517
